"item_id","name","powers","need","count","time","gfxid","nameid","level","note2"
"80370","魔法娃娃：克特","2,293,87,116","41246","50","1800","15978","魔法娃娃：克特","5","0"
"80371","魔法娃娃：墮落","147,299,116","41246","50","1800","15260","魔法娃娃：墮落","5","0"
"80372","魔法娃娃：安塔瑞斯","90,221,47","41246","50","1800","12604","魔法娃娃：安塔瑞斯","5","0"
"80373","魔法娃娃：法利昂","252,197,302,315,47","41246","50","1800","12628","魔法娃娃：法利昂","5","0"
"80374","魔法娃娃：林德拜爾","77,194,252,315,47","41246","50","1800","12620","魔法娃娃：林德拜爾","5","0"
"80375","魔法娃娃：巴拉卡斯","252,315,222,54,47","41246","50","1800","12624","魔法娃娃：巴拉卡斯","5","0"
"80364","魔法娃娃：三藏法師","248,55,78,198,217,249,284,49","41246","50","1800","14812","魔法娃娃：三藏法師","5","0"
"80336","魔法娃娃：木頭","13","41246","50","1800","12539","魔法娃娃：木頭","1","0"
"80337","魔法娃娃：熔岩高崙","85,51","41246","50","1800","13573","魔法娃娃：熔岩高崙","2","0"
"80338","魔法娃娃：雪人","51,57","41246","50","1800","8751","魔法娃娃：雪人","2","0"
"80339","魔法娃娃：美人魚","236","41246","50","1800","8650","魔法娃娃：美人魚","2","0"
"80340","魔法娃娃：黑長者","47,251","41246","50","1800","12641","魔法娃娃：黑長者","3","0"
"80341","魔法娃娃：思克巴女皇","47,145","41246","50","1800","12574","魔法娃娃：思克巴女皇","3","0"
"80342","魔法娃娃：食人妖精王","252,44","41246","50","1800","13420","魔法娃娃：食人妖精王","3","0"
"80343","魔法娃娃：鑽石高崙","86","41246","50","1800","13577","魔法娃娃：鑽石高崙","3","0"
"80344","魔法娃娃：巨人","283,85","41246","50","1800","8539","魔法娃娃：巨人","3","0"
"80345","魔法娃娃：飛龍","75,41","41246","50","1800","10256","魔法娃娃：飛龍","3","0"
"80346","魔法娃娃：獨眼巨人","262,52,75,88,283,223","41246","50","1800","8549","魔法娃娃：獨眼巨人","4","0"
"80347","魔法娃娃：幻象眼魔","235,78,86,44","41246","50","1800","13524","魔法娃娃：幻象眼魔","4","0"
"80348","魔法娃娃：吸血鬼","235,86,53,58,237","41246","50","1800","14521","魔法娃娃：吸血鬼","4","0"
"80349","魔法娃娃：艾莉絲","58,87,235,293","41246","50","1800","14534","魔法娃娃：艾莉絲","4","0"
"80350","魔法娃娃：騎士范德","262,54,58,87,252,256","41246","50","1800","13516","魔法娃娃：騎士范德","4","0"
"80351","魔法娃娃：莫提斯","262,44,87,195,252","41246","50","1800","8745","魔法娃娃：莫提斯","5","0"
"80352","魔法娃娃：巴蘭卡","56,60,89,253,262,294","41246","50","1800","14527","魔法娃娃：巴蘭卡","5","0"
"80353","魔法娃娃：木乃伊王","262,198,87,252,279","41246","50","1800","14536","魔法娃娃：木乃伊王","5","0"
"80354","魔法娃娃：惡魔","248,56,90,60,253,263","41246","50","1800","13464","魔法娃娃：惡魔","5","0"
"80355","魔法娃娃：死亡騎士","248,53,76,249,73,254","41246","50","1800","13520","魔法娃娃：死亡騎士","5","0"
"80356","[偽]魔法娃娃：喪葬法師","235,52,75,146,7,87,47","41246","50","1800","14812","[偽]魔法娃娃：喪葬法師","3","0"
"80357","[偽]魔法娃娃：孫武控","235,52,85,280","41246","50","1800","14809","[偽]魔法娃娃：孫武控","3","0"
"80358","[偽]魔法娃娃：豬扒芥","3,76,81,86,281","41246","50","1800","14829","[偽]魔法娃娃：豬扒芥","3","0"
"80359","[偽]魔法娃娃：煞無禁","3,145,86,246,282","41246","50","1800","14805","[偽]魔法娃娃：煞無禁","3","0"
"80360","[仿]魔法娃娃：三藏法師","262,53,76,147,13,89,283,47","41246","50","1800","14812","[仿]魔法娃娃：三藏法師","4","0"
"80361","[仿]魔法娃娃：孫悟空","262,53,86,114,280","41246","50","1800","14809","[仿]魔法娃娃：孫悟空","4","0"
"80362","[仿]魔法娃娃：豬八戒","235,77,82,87,281","41246","50","1800","14829","[仿]魔法娃娃：豬八戒","4","0"
"80363","[仿]魔法娃娃：沙悟淨","235,146,87,44,282","41246","50","1800","14805","[仿]魔法娃娃：沙悟淨","4","0"
