"item_id","name","classname","name_id","type","material","weight","invgfx","grdgfx","itemdesc_id","ac","safenchant","use_royal","use_knight","use_mage","use_elf","use_darkelf","use_dragonknight","use_illusionist","add_str","add_con","add_dex","add_int","add_wis","add_cha","add_hp","add_mp","add_hpr","add_mpr","add_sp","min_lvl","max_lvl","m_def","haste_item","damage_reduction","weight_reduction","hit_modifier","dmg_modifier","bow_hit_modifier","bow_dmg_modifier","bless","trade","cant_delete","max_use_time","defense_water","defense_wind","defense_fire","defense_earth","regist_stun","regist_stone","regist_sleep","regist_freeze","regist_sustain","regist_blind","greater","note","note2"
"20017","木乃伊王的王冠","0","$3022","helm","gold","20000","1420","3513","1123","-3","4","1","0","0","0","0","0","0","2","1","1","0","0","-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20018","馬庫爾之帽","0","$2748","helm","cloth","20000","1233","3257","982","-2","4","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20019","王冠","0","$413","helm","gold","30000","184","462","139","-3","4","1","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20020","武官頭盔","0","$3842","helm","steel","50000","1896","4957","0","-2","6","1","1","0","1","1","1","0","0","0","0","0","0","0","0","10","0","0","0","40","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20021","精靈敏捷頭盔","0","$1903","helm","leather","13000","913","18","0","-1","6","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20022","巴蘭卡頭盔","0","$3075","helm","leather","50000","1527","3818","1163","-2","4","0","1","0","1","1","1","0","0","1","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20023","風之頭盔","0","$1942","helm","leather","50000","903","18","663","-2","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","加速術 (20/0)<br>強力加速術 (30/0)",
"20024","反王頭盔","0","$2192","helm","iron","15000","959","18","0","-3","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20025","巴土瑟之帽","0","$2746","helm","cloth","20000","1231","3255","980","-2","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20026","夜之視野","0","$2245","helm","cloth","25000","1001","18","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20027","紅騎士頭巾","0","$1924","helm","cloth","20000","916","18","0","-2","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20028","象牙塔皮頭盔","0","$3289","helm","leather","40000","445","18","1330","-3","-1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-1","可使用象牙塔對盔甲施法的卷軸強化至+4",
"20029","西瑪之帽","0","$2749","helm","cloth","20000","1234","3258","983","-2","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","15","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20030","神官頭飾","0","$3849","helm","leather","20000","1903","4964","0","-1","6","1","0","1","1","0","0","1","0","0","0","0","0","0","10","0","0","1","0","40","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20031","火焰之影頭盔","0","$3746","helm","bone","1000","1994","5045","1715","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","52","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20032","黑暗頭飾","0","$2452 $2468","helm","cloth","5000","1071","2935","872","-1","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20033","艾爾穆的祝福","0","$790","helm","leather","13000","267","18","275","-2","6","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20034","歐西斯頭盔","0","$120","helm","iron","30000","54","18","0","-1","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20035","精靈皮盔","0","$118","helm","leather","3000","53","18","0","-1","6","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20036","夜視頭盔","0","$1008","helm","mithril","50000","167","18","304","-1","4","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","夜間視力",
"20037","真實的面具","0","$2651","helm","wood","10000","1319","3372","1051","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-1","能看到墮落的靈魂",
"20038","銀釘皮帽","0","$1022","helm","leather","20000","445","18","0","-2","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20039","精靈體質頭盔","0","$1904","helm","leather","13000","908","18","0","-1","6","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20040","卡士伯之帽","0","$2747","helm","cloth","20000","1232","3256","981","-2","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20041","克特頭盔","0","$2776","helm","iron","50000","1245","3261","1010","-3","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20042","賽尼斯頭箍","0","$2199","helm","iron","5000","969","18","0","-3","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20043","鋼盔","0","$128","helm","iron","30000","55","18","0","-1","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20044","藍海賊頭巾","0","$3495","helm","leather","15000","1764","4342","1449","-2","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20045","骷髏頭盔","0","$1024","helm","bone","30000","453","18","0","-3","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20046","南瓜帽","0","$2067","helm","vegetation","25000","950","2474","0","0","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","6000","0","0","0","0","0","0","0","0","0","0","-1","能看到隱身南瓜怪",
"20047","南瓜頭套","0","$2072","helm","vegetation","20000","951","2474","0","0","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","會變成南瓜怪，脫下即可變回來",
"20048","混沌頭盔","0","$3741","helm","bone","5000","1993","5044","1710","-1","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","45","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","9","0","0","0","0","0","-1",,
"20049","巨蟻女皇的金翅膀","0","$2769","cloak","gold","10000","1248","3311","1003","-4","4","1","1","0","1","0","1","0","0","0","0","0","0","0","50","0","0","0","0","0","0","15","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20050","巨蟻女皇的銀翅膀","0","$2770","cloak","silver","1000","1249","3312","1004","0","4","0","0","1","1","1","0","1","0","0","0","0","1","0","0","50","0","3","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20051","君主的威嚴","0","$2076","cloak","cloth","10000","941","13","0","-2","4","1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20052","侏儒斗篷","0","$174","cloak","cloth","10000","27","3812","0","0","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20053","狼皮斗篷","0","$2918","cloak","leather","5000","1339","3439","1091","-3","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20054","地屬性 斗篷","0","$2473 $225","cloak","cloth","20000","1081","2941","878","-3","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","10","0","0","0","0","0","0","-1",,
"20055","瑪那斗篷","0","$2250","cloak","cloth","10000","1007","13","769","-2","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","45","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20056","抗魔法斗篷","0","$182","cloak","cloth","10000","265","3808","111","-1","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20057","冥法軍王斗篷","0","$3854","cloak","cloth","10000","1908","4969","0","-5","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20058","武官斗篷","0","$3843","cloak","cloth","10000","1897","4958","0","0","6","1","1","0","1","1","1","0","0","0","0","0","0","0","20","0","3","0","0","40","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20059","水屬性 斗篷","0","$2471 $225","cloak","cloth","20000","1092","2939","876","-3","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","10","0","0","0","0","0","0","0","0","0","-1",,
"20060","藍海賊斗篷","0","$3498","cloak","cloth","10000","1767","4345","1489","-2","4","1","1","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20061","風屬性 斗篷","0","$2472 $225","cloak","cloth","20000","1094","2940","877","-3","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","10","0","0","0","0","0","0","0","0","-1",,
"20062","炎魔的血光斗篷","0","$3373","cloak","cloth","10000","1718","4314","1409","-5","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","52","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20063","保護者斗篷","0","$178","cloak","cloth","10000","30","3810","0","-3","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20064","紅騎士之鬥篷","0","$312","cloak","cloth","10000","29","13","0","-1","4","1","1","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20065","紅色斗篷","0","$1918","cloak","cloth","10000","907","13","0","-2","4","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20066","黑虎皮斗篷","0","$3109","cloak","leather","5000","1510","3732","1197","-3","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20067","神官斗篷","0","$3850","cloak","cloth","10000","1904","4965","0","0","6","1","0","1","1","0","0","1","0","0","0","0","0","0","10","0","0","3","0","40","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20068","亞丁騎士團披肩","0","$2714","cloak","cloth","10000","1223","3249","975","-3","4","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20069","火焰之影斗篷","0","$3749","cloak","bone","1000","2006","5056","1718","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","52","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20070","黑暗斗篷","0","$2452 $225","cloak","cloth","20000","1074","2932","869","-3","4","0","0","0","0","1","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20071","火屬性 斗篷","0","$2470 $225","cloak","cloth","20000","1082","2938","875","-3","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","10","0","0","0","0","0","0","0","-1",,
"20072","歐西斯斗篷","0","$172","cloak","cloth","10000","29","3824","0","0","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20073","精靈斗篷","0","$170","cloak","cloth","10000","28","3814","105","-1","6","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20074","銀光斗篷","0","$656 $225","cloak","silver","30000","1087","2937","874","-2","4","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","4","0","0","0","15","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20075","死亡斗篷","0","$3744","cloak","bone","10000","1966","5023","1713","-3","0","1","1","1","1","1","1","1","1","0","0","0","0","0","100","50","-10","0","0","45","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20076","墮落斗篷","0","$3345","cloak","cloth","10000","1667","4269","1381","-2","4","0","0","0","0","1","0","0","0","1","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20077","隱身斗篷","0","$180","cloak","cloth","10000","272","3806","110","-1","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","穿著者會自動隱身",
"20078","混沌斗篷","0","$3740","cloak","bone","5000","1979","5037","1709","-3","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","45","0","10","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20079","吸血鬼斗篷","0","$3068","cloak","cloth","100000","1514","3738","0","0","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","變身：吸血鬼",
"20080","位移斗篷","0","$184","cloak","cloth","10000","27","3812","0","-2","4","1","1","1","1","1","1","1","0","0","0","0","0","0","-5","15","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20081","油布斗篷","0","$176","cloak","cloth","10000","69","3822","0","-2","4","1","1","1","1","1","1","1","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20082","象牙塔T恤","0","$3295","T","cloth","5000","110","24","1336","-1","-1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-1","可使用象牙塔對盔甲施法的卷軸強化至+4",
"20083","火焰之影襯衫","0","$3747","T","bone","1000","2000","5051","1717","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","52","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20084","精靈T恤","0","$2075","T","cloth","5000","956","24","0","0","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20085","T恤","0","$168","T","cloth","5000","110","24","104","0","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20086","智力內衣","0","$3623","T","blackmithril","5000","1829","24","0","-2","0","1","1","1","1","1","1","1","-1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20087","敏捷內衣","0","$3631","T","blackmithril","5000","1829","24","0","-2","0","1","1","1","1","1","1","1","0","-1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20088","力量內衣","0","$3627","T","blackmithril","5000","1829","24","0","-2","0","1","1","1","1","1","1","1","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20089","小籐甲","0","$116","armor","leather","70000","51","3830","0","-2","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20090","皮背心","0","$1031","armor","leather","30000","301","9","0","-1","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20091","鋼鐵金屬盔甲","0","$1212","armor","iron","470000","510","9","0","-7","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20092","古老的皮盔甲","0","$1947","armor","leather","180000","898","9","668","-14","-1","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","4","8","0","45","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20093","古老的長袍","0","$1948","armor","cloth","30000","900","9","669","-12","-1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","12","0","45","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20094","古老的鱗甲","0","$1949","armor","dragonscale","200000","901","9","670","-14","-1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","8","4","0","45","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20095","古老的金屬盔甲","0","$1946","armor","iron","280000","899","9","667","-16","-1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","45","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20096","環甲","0","$164","armor","iron","250000","86","3838","0","-3","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20097","木甲","0","$781","armor","wood","80000","109","9","0","-3","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20098","黑暗棲林者盔甲","0","$3092","armor","leather","30000","1490","3712","1180","-4","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20099","惡魔盔甲","0","$1806","armor","iron","250000","696","9","0","-6","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20100","死亡騎士盔甲","0","$1810","armor","iron","250000","695","3293","0","-7","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
"20101","皮甲","0","$156","armor","iron","350000","10","3772","0","-6","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1",,
